title,address,lat,lng,type,place_id_search
ChargePoint Charging Station,"3149 SW S Kansas Ave, Topeka, KS 66611",39.0097903,-95.6826706,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bf1cd6b54413d5%3A0x246018538dd2b2b5%218m2%213d39.0097903%214d-95.6826706&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"800 S Kansas Ave, Topeka, KS 66612",39.048243899999996,-95.674033,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bf030e258c4d73%3A0xcaecbb75c7504e8f%218m2%213d39.048243899999996%214d-95.674033&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"Kansas City, MO 64154",39.247381399999995,-94.65076909999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87c05f498d6aba67%3A0x7874d358aeee3772%218m2%213d39.247381399999995%214d-94.65076909999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"8301 N St Clair Ave, Kansas City, MO 64151",39.246128299999995,-94.64652009999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87c05f4b1a1d54a7%3A0x3257d27c3bc695a3%218m2%213d39.246128299999995%214d-94.64652009999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"15000 W 87th St Pkwy, Lenexa, KS 66219",38.972455599999996,-94.76064769999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87c09482ee493893%3A0x37fbb12ddfadbace%218m2%213d38.972455599999996%214d-94.76064769999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"5330 NW 64th St, Kansas City, MO 64151",39.2113835,-94.6413221,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87c0f60a52b551d9%3A0x1f30e52bdfe3423e%218m2%213d39.2113835%214d-94.6413221&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"3504 Clinton Parkway, Lawrence, KS 66047",38.9441163,-95.2804685,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bf6930540ba8b7%3A0xe80a01bbed7345cf%218m2%213d38.9441163%214d-95.2804685&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"I-70, Tonganoxie, KS 66086",39.020224,-95.134502,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bf63678e3daa3d%3A0xc369f28ab9f9a298%218m2%213d39.020224%214d-95.134502&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"Bradley, CA 93426",35.850232999999996,-120.770224,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80932c27c349bb4b%3A0xe44870fc022722ca%218m2%213d35.850232999999996%214d-120.770224&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"San Miguel, CA 93451",35.831372,-120.75841799999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80932c4b496db035%3A0x80d6945f0a3806ad%218m2%213d35.831372%214d-120.75841799999999&engine=google_maps&google_domain=google.com&hl=en&type=place
