number,Address,lat,lng
83,"Gomel region, Gomel district, track M-150, 4-th km, 1",52.3676,31.003
84,"Grodno region, Grodno district, highway M-6, 291 km, 1",53.531543,23.683868
92,"Brestoblnefteprodukt, Leitenanta Ryabceva Street, Brest region, Brest, 224025, Belarus",52.121287,23.671321
99,"Mogilev region, Mogilev district, Mogilev city, K.Marksa Street, 11",53.8964,30.34055
Асстор-Вест,Nil,52.086524,23.682281
"г. Витебск, пр. Московский, 60А",Nil,55.179468,30.222975
"г. Витебск, пр. Московский, 86",Nil,55.176868,30.247535
"г. Витебск, пр. Строителей, 1Г",Nil,55.171805,30.202559
"г. Витебск, ул. Димитрова, 31А",Nil,55.187107,30.190773
"г. Витебск, ул. Космонавтов, 10",Nil,55.193956,30.185935
"г. Витебск, ул. Ленина, 26А",Nil,55.191737,30.203859
"г. Витебск, ул. Ленина, 69",Nil,55.201829,30.208518
г.Ивье,Ivye,53.931666,25.770833
"ГОБК,13",Nil,52.092992,23.667049
Зарядная станция для электромобилей,Nil,52.476785,30.985387
Зарядная станция для электромобилей площадь Ленина,Nil,52.424876,31.015411
Зарядная станция для электромобилей по ул.Билецкого,Nil,52.427017,31.016831
Зарядная станция для электромобилей по ул.Крестьянской,Nil,52.423996,30.99855
"Зубачёва, 25",Nil,52.086784,23.667582
Кижеватова,Nil,52.100435,23.680218
"Московская, 380А","Brestoblnefteprodukt; Moskovskaya street; 224002, Brest region, Brest, Belarus",52.104554,23.78789
"Пионерская,52","Brestoblnefteprodukt; Pionerskaya street; 224002, Brest region, Brest, Belarus",52.097122,23.731063
"Территория заправочного торгово-производственного комплекса «550 км», а/д М-1 Брест-Минск-граница Российской Федерации,",Nil,54.517282,30.146228
ТРЦ «Тринити»,"Grodno ave. Y. Kupala, 87",53.65053,23.853833
ЭЗС ЖД-вокзал,"Grodno Ozheshko st, 42",53.686941,23.846805
"ЭЗС ИООО Корона ул. Горького, 91","Grodno Gorky str, 91",53.710792,23.815589
"ЭЗС Моde-3 ул. Коммунальная, 3 Гродно","Grodno Communalnaya st, 3",53.688837,23.826229
ЭЗС по ул.Чечерской 1Б в г. Гомеле,Nil,52.461514,31.039819
ЭЗС ТЦ Евроопт  пр-т Я. Купалы,"Grodno ave. Y. Kupala, 82-a",53.654255,23.849679
ЭЗС ТЦ Рублевский,"Grodno, st. Dzerzhinsky, 54",53.694603,23.838124
"ЭЗС ул. Социалистическая, 14 г. Гродно",Grodno city Sotsialisticheskaya st. 14,53.68166,23.836093
ЭЗС №1,Nil,53.880783,30.368014
ЭЗС №2,Nil,53.88779,30.329687
ЭЗС №3,Nil,53.901467,30.341966
"ЭЗС, г. Гомель, пл. Привокзальная, 3",Nil,52.430034,30.991732
"ЭЗС, г. Гомель, ул.Мазурова, 112",Nil,52.456015,31.024505
